Artist ID,Track Name,Popularity
0cGUm45nv7Z6M6qdXYQGTX,After Hours,79
0cGUm45nv7Z6M6qdXYQGTX,Nights Like This (feat. Ty Dolla $ign),76
0cGUm45nv7Z6M6qdXYQGTX,Gangsta,60
0cGUm45nv7Z6M6qdXYQGTX,Good Life (with G-Eazy & Kehlani),57
0cGUm45nv7Z6M6qdXYQGTX,Done for Me (feat. Kehlani),68
0cGUm45nv7Z6M6qdXYQGTX,Toxic,66
0cGUm45nv7Z6M6qdXYQGTX,Ring (feat. Kehlani),65
0cGUm45nv7Z6M6qdXYQGTX,Can I,65
0cGUm45nv7Z6M6qdXYQGTX,Honey,64
0cGUm45nv7Z6M6qdXYQGTX,At My Worst (feat. Kehlani),58
4GvEc3ANtPPjt1ZJllr5Zl,Mine,75
4GvEc3ANtPPjt1ZJllr5Zl,Beautiful (feat. Camila Cabello),72
4GvEc3ANtPPjt1ZJllr5Zl,Paradise,72
4GvEc3ANtPPjt1ZJllr5Zl,I.F.L.Y.,72
4GvEc3ANtPPjt1ZJllr5Zl,Fantasy,69
4GvEc3ANtPPjt1ZJllr5Zl,Why,66
4GvEc3ANtPPjt1ZJllr5Zl,Myself,65
4GvEc3ANtPPjt1ZJllr5Zl,Beautiful,62
4GvEc3ANtPPjt1ZJllr5Zl,STRINGS (feat. JVKE & Bazzi),61
4GvEc3ANtPPjt1ZJllr5Zl,3:15,61
3e7awlrlDSwF3iM0WBjGMp,Heartbreak Anthem (with David Guetta & Little Mix),75
3e7awlrlDSwF3iM0WBjGMp,Secret Love Song (feat. Jason Derulo),74
3e7awlrlDSwF3iM0WBjGMp,Black Magic,73
3e7awlrlDSwF3iM0WBjGMp,Shout Out to My Ex,73
3e7awlrlDSwF3iM0WBjGMp,Power,72
3e7awlrlDSwF3iM0WBjGMp,Love Me Like You,69
3e7awlrlDSwF3iM0WBjGMp,Reggaetón Lento (Remix),65
3e7awlrlDSwF3iM0WBjGMp,Woman Like Me (feat. Nicki Minaj),66
3e7awlrlDSwF3iM0WBjGMp,Touch,66
3e7awlrlDSwF3iM0WBjGMp,Love Me or Leave Me,65
6qqNVTkY8uBg9cP3Jd7DAH,"What Was I Made For? [From The Motion Picture ""Barbie""]",90
6qqNVTkY8uBg9cP3Jd7DAH,lovely (with Khalid),88
6qqNVTkY8uBg9cP3Jd7DAH,ocean eyes,73
6qqNVTkY8uBg9cP3Jd7DAH,hotline (edit),85
6qqNVTkY8uBg9cP3Jd7DAH,when the party's over,85
6qqNVTkY8uBg9cP3Jd7DAH,Happier Than Ever,84
6qqNVTkY8uBg9cP3Jd7DAH,everything i wanted,83
6qqNVTkY8uBg9cP3Jd7DAH,bad guy,82
6qqNVTkY8uBg9cP3Jd7DAH,TV,82
6qqNVTkY8uBg9cP3Jd7DAH,Bored,81
1xVYxkSq6IWhFpSW1OMe41,Glowing in the Dark,53
1xVYxkSq6IWhFpSW1OMe41,Written in the Stars,46
1xVYxkSq6IWhFpSW1OMe41,Someone You Like,46
1xVYxkSq6IWhFpSW1OMe41,Make You Stay,44
1xVYxkSq6IWhFpSW1OMe41,Cry Wolf,33
1xVYxkSq6IWhFpSW1OMe41,Gladiator,31
1xVYxkSq6IWhFpSW1OMe41,Monster,29
1xVYxkSq6IWhFpSW1OMe41,My Way,28
1xVYxkSq6IWhFpSW1OMe41,All I Want for Christmas Is You,18
1xVYxkSq6IWhFpSW1OMe41,Have Yourself a Merry Little Christmas,14
1KYszkVzlhV3rAqmAcYIgd,Take A Hint (feat. Victoria Justice & Elizabeth Gillies),60
1KYszkVzlhV3rAqmAcYIgd,Beggin' On Your Knees (feat. Victoria Justice),61
1KYszkVzlhV3rAqmAcYIgd,Freak The Freak Out (feat. Victoria Justice),58
1KYszkVzlhV3rAqmAcYIgd,Make It Shine (Victorious Theme) (feat. Victoria Justice),54
1KYszkVzlhV3rAqmAcYIgd,Give It Up (feat. Elizabeth Gillies & Ariana Grande),56
1KYszkVzlhV3rAqmAcYIgd,Best Friend's Brother (feat. Victoria Justice),55
